it ant_count alpha_ant beta_ant greedy random standard rank elit pso,,,,,,,,alpha=0.4,alpha=.55,alpha=1,bta=0.4,beta=0.85,beta=1,antcount=50,antcount=100,antcount=150,antcount=200
50,100,0.4,0.85,,,483.2475794,,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE
50,100,0.4,0.85,,,483.2475794,,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE
50,100,0.4,0.85,,,483.2475794,,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE
50,100,0.4,1,,,512.3489239,,512.3489239,FALSE,FALSE,FALSE,FALSE,512.3489239,FALSE,512.3489239,FALSE,FALSE
50,100,0.4,1,,,512.3489239,,512.3489239,FALSE,FALSE,FALSE,FALSE,512.3489239,FALSE,512.3489239,FALSE,FALSE
50,100,0.4,1,,,512.3489239,,512.3489239,FALSE,FALSE,FALSE,FALSE,512.3489239,FALSE,512.3489239,FALSE,FALSE
50,100,0.55,0.4,,,534.4915005,,FALSE,534.4915005,FALSE,534.4915005,FALSE,FALSE,FALSE,534.4915005,FALSE,FALSE
50,100,0.55,0.4,,,525.8138241,,FALSE,525.8138241,FALSE,525.8138241,FALSE,FALSE,FALSE,525.8138241,FALSE,FALSE
50,100,0.55,0.4,,,525.8138241,,FALSE,525.8138241,FALSE,525.8138241,FALSE,FALSE,FALSE,525.8138241,FALSE,FALSE
50,100,0.55,0.85,,,483.2475794,,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE
50,100,0.55,0.85,,,483.2475794,,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE
50,100,0.55,0.85,,,483.2475794,,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE
50,100,0.55,1,,,512.3489239,,FALSE,512.3489239,FALSE,FALSE,FALSE,512.3489239,FALSE,512.3489239,FALSE,FALSE
50,100,0.55,1,,,512.3489239,,FALSE,512.3489239,FALSE,FALSE,FALSE,512.3489239,FALSE,512.3489239,FALSE,FALSE
50,100,0.55,1,,,512.3489239,,FALSE,512.3489239,FALSE,FALSE,FALSE,512.3489239,FALSE,512.3489239,FALSE,FALSE
50,100,1,0.4,,,525.8138241,,FALSE,FALSE,525.8138241,525.8138241,FALSE,FALSE,FALSE,525.8138241,FALSE,FALSE
50,100,1,0.4,,,525.8138241,,FALSE,FALSE,525.8138241,525.8138241,FALSE,FALSE,FALSE,525.8138241,FALSE,FALSE
50,100,1,0.4,,,525.8138241,,FALSE,FALSE,525.8138241,525.8138241,FALSE,FALSE,FALSE,525.8138241,FALSE,FALSE
50,100,1,0.85,,,483.2475794,,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE
50,100,1,0.85,,,483.2475794,,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE
50,100,1,0.85,,,483.2475794,,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE
50,100,1,1,,,512.3489239,,FALSE,FALSE,512.3489239,FALSE,FALSE,512.3489239,FALSE,512.3489239,FALSE,FALSE
50,100,1,1,,,512.3489239,,FALSE,FALSE,512.3489239,FALSE,FALSE,512.3489239,FALSE,512.3489239,FALSE,FALSE
50,100,1,1,,,512.3489239,,FALSE,FALSE,512.3489239,FALSE,FALSE,512.3489239,FALSE,512.3489239,FALSE,FALSE
50,150,0.4,0.4,,,525.8138241,,525.8138241,FALSE,FALSE,525.8138241,FALSE,FALSE,FALSE,FALSE,525.8138241,FALSE
50,150,0.4,0.4,,,525.8138241,,525.8138241,FALSE,FALSE,525.8138241,FALSE,FALSE,FALSE,FALSE,525.8138241,FALSE
50,150,0.4,0.4,,,525.8138241,,525.8138241,FALSE,FALSE,525.8138241,FALSE,FALSE,FALSE,FALSE,525.8138241,FALSE
50,150,0.4,0.85,,,483.2475794,,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE
50,150,0.4,0.85,,,483.2475794,,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE
50,150,0.4,0.85,,,483.2475794,,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE
50,150,0.4,1,,,493.6854039,,493.6854039,FALSE,FALSE,FALSE,FALSE,493.6854039,FALSE,FALSE,493.6854039,FALSE
50,150,0.4,1,,,493.6854039,,493.6854039,FALSE,FALSE,FALSE,FALSE,493.6854039,FALSE,FALSE,493.6854039,FALSE
50,150,0.4,1,,,493.6854039,,493.6854039,FALSE,FALSE,FALSE,FALSE,493.6854039,FALSE,FALSE,493.6854039,FALSE
50,150,0.55,0.4,,,525.8138241,,FALSE,525.8138241,FALSE,525.8138241,FALSE,FALSE,FALSE,FALSE,525.8138241,FALSE
50,150,0.55,0.4,,,525.8138241,,FALSE,525.8138241,FALSE,525.8138241,FALSE,FALSE,FALSE,FALSE,525.8138241,FALSE
50,150,0.55,0.4,,,525.8138241,,FALSE,525.8138241,FALSE,525.8138241,FALSE,FALSE,FALSE,FALSE,525.8138241,FALSE
50,150,0.55,0.85,,,483.2475794,,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE
50,150,0.55,0.85,,,483.2475794,,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE
50,150,0.55,0.85,,,483.2475794,,FALSE,483.2475794,FALSE,FALSE,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE
50,150,0.55,1,,,493.6854039,,FALSE,493.6854039,FALSE,FALSE,FALSE,493.6854039,FALSE,FALSE,493.6854039,FALSE
50,150,0.55,1,,,493.6854039,,FALSE,493.6854039,FALSE,FALSE,FALSE,493.6854039,FALSE,FALSE,493.6854039,FALSE
50,150,0.55,1,,,493.6854039,,FALSE,493.6854039,FALSE,FALSE,FALSE,493.6854039,FALSE,FALSE,493.6854039,FALSE
50,150,1,0.4,,,525.8138241,,FALSE,FALSE,525.8138241,525.8138241,FALSE,FALSE,FALSE,FALSE,525.8138241,FALSE
50,150,1,0.4,,,525.8138241,,FALSE,FALSE,525.8138241,525.8138241,FALSE,FALSE,FALSE,FALSE,525.8138241,FALSE
50,150,1,0.4,,,525.8138241,,FALSE,FALSE,525.8138241,525.8138241,FALSE,FALSE,FALSE,FALSE,525.8138241,FALSE
50,150,1,0.85,,,483.2475794,,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE
50,150,1,0.85,,,483.2475794,,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE
50,150,1,0.85,,,483.2475794,,FALSE,FALSE,483.2475794,FALSE,483.2475794,FALSE,FALSE,FALSE,483.2475794,FALSE
50,150,1,1,,,493.6854039,,FALSE,FALSE,493.6854039,FALSE,FALSE,493.6854039,FALSE,FALSE,493.6854039,FALSE
50,150,1,1,,,493.6854039,,FALSE,FALSE,493.6854039,FALSE,FALSE,493.6854039,FALSE,FALSE,493.6854039,FALSE
