it ant_count alpha_ant beta_ant greedy random standard rank elit pso,,,,,,,,alpha=1,alpha,alpha,alpha,alpha=20,beta=1,,,,beta=20
50,200,10,10,,,426.2840218,,FALSE,FALSE,FALSE,426.2840218,FALSE,FALSE,FALSE,FALSE,426.2840218,FALSE
50,200,10,20,,,459.6905484,,FALSE,FALSE,FALSE,459.6905484,FALSE,FALSE,FALSE,FALSE,FALSE,459.6905484
50,200,20,1,,,391.9786604,,FALSE,FALSE,FALSE,FALSE,391.9786604,391.9786604,FALSE,FALSE,FALSE,FALSE
50,200,20,2,,,406.9449417,,FALSE,FALSE,FALSE,FALSE,406.9449417,FALSE,406.9449417,FALSE,FALSE,FALSE
50,200,20,4,,,413.0466546,,FALSE,FALSE,FALSE,FALSE,413.0466546,FALSE,FALSE,413.0466546,FALSE,FALSE
50,200,20,10,,,457.6316344,,FALSE,FALSE,FALSE,FALSE,457.6316344,FALSE,FALSE,FALSE,457.6316344,FALSE
50,200,20,20,,,460.158575,,FALSE,FALSE,FALSE,FALSE,460.158575,FALSE,FALSE,FALSE,FALSE,460.158575
,,,,,,,,,,,,,,,,,
,,,,,min,383.8410323,,393.1819438,391.9786604,383.8410323,384.1032248,391.9786604,391.9786604,388.8067455,383.8410323,413.0466546,428.4260121
,,,,,max,500.6826592,,493.6854039,474.4021557,500.6826592,459.6905484,460.158575,500.6826592,442.0925735,424.8052225,457.6316344,466.3629937
,,,,,average,430.2052169,,432.4490026,433.4279893,431.3502711,424.7344612,429.0643605,457.9744591,414.4246358,400.3957451,423.9171159,454.3141286
